Year,varve num,varve thickness,dark,light,std
2005,1,1.06,0.08,0.98,0.11619817252014113
2004,2,1.3,0.1,1.2,0.524407404677854
2003,3,0.8,0.12,0.68,-0.32602849565071446
2002,4,0.7,0.2,0.5,-0.4961156757164283
2001,5,0.3,0.14,0.16,-1.1764643959792829
2000,6,0.2,0.1,0.1,-1.3465515760449966
1999,7,1.5,0.2,1.3,0.8645817648092813
1998,8,0.5,0.3,0.2,-0.8362900358478556
1997,9,1.8,0.3,1.5,1.3748433050064224
1996,10,1.6,0.26,1.34,1.034668944874995
1995,11,0.6,0.1,0.5,-0.6662028557821419
1994,12,0.7,0.1,0.6,-0.4961156757164283
1993,13,1.1,0.1,1,0.18423304454642667
1992,14,1,0.2,0.8,0.014145864480712833
1991,15,0.5,0.2,0.3,-0.8362900358478556
1990,16,0.6,0.2,0.4,-0.6662028557821419
1989,17,1.6,0.26,1.34,1.034668944874995
1988,18,0.8,0.2,0.6,-0.32602849565071446
1987,19,0.4,0.15,0.25,-1.006377215913569
1986,20,0.6,0.06,0.54,-0.6662028557821419
1985,21,1.6,0.05,1.55,1.034668944874995
1984,22,0.3,0.1,0.2,-1.1764643959792829
1983,23,0.4,0.2,0.2,-1.006377215913569
1982,24,1.6,0.26,1.34,1.034668944874995
1981,25,0.7,0.1,0.6,-0.4961156757164283
1980,26,1.2,0.1,1.1,0.35432022461214013
1979,27,0.5,0.2,0.3,-0.8362900358478556
1978,28,1.4,0.1,1.3,0.6944945847435674
1977,29,0.7,0.14,0.56,-0.4961156757164283
1976,30,0.8,0.04,0.76,-0.32602849565071446
1975,31,1.2,0.1,1.1,0.35432022461214013
1974,32,1.6,0.4,1.2,1.034668944874995
1973,33,0.3,0.2,0.1,-1.1764643959792829
1972,34,1.4,0.4,1,0.6944945847435674
1971,35,3.8,0.2,3.6,4.776586906320696
1970,36,1.8,0.06,1.74,1.3748433050064224
1969,37,0.4,0.1,0.3,-1.006377215913569
1968,38,1.3,0.1,1.2,0.524407404677854
1967,39,1,0.2,0.8,0.014145864480712833
1966,40,0.3,0.1,0.2,-1.1764643959792829
1965,41,1.4,0.06,1.34,0.6944945847435674
1964,42,0.5,0.2,0.3,-0.8362900358478556
1963,43,0.9,0.02,0.88,-0.1559413155850008
1962,44,0.7,0.06,0.64,-0.4961156757164283
1961,45,0.7,0.2,0.5,-0.4961156757164283
1960,46,1.4,0.1,1.3,0.6944945847435674
1959,47,1,0.4,0.6,0.014145864480712833
1958,48,0.5,0.14,0.36,-0.8362900358478556
1957,49,1.6,0.14,1.46,1.034668944874995
1956,50,1.6,0.08,1.52,1.034668944874995
1955,51,1.4,0.1,1.3,0.6944945847435674
1954,52,0.5,0.04,0.46,-0.8362900358478556
1953,53,0.6,0.2,0.4,-0.6662028557821419
1952,54,1,0.2,0.8,0.014145864480712833
1951,55,0.6,0.1,0.5,-0.6662028557821419
1950,56,1.6,0.02,1.58,1.034668944874995
1949,57,0.7,0.1,0.6,-0.4961156757164283
1948,58,1.3,0.02,1.28,0.524407404677854
1947,59,1.1,0.1,1,0.18423304454642667
1946,60,1.2,0.3,0.9,0.35432022461214013
1945,61,0.7,0.2,0.5,-0.4961156757164283
1944,62,0.6,0.1,0.5,-0.6662028557821419
1943,63,1.5,0.05,1.45,0.8645817648092813
1942,64,0.6,0.2,0.4,-0.6662028557821419
1941,65,0.5,0.2,0.3,-0.8362900358478556
1940,66,0.6,0.2,0.4,-0.6662028557821419
1939,67,1.6,0.1,1.5,1.034668944874995
1938,68,0.7,0.2,0.5,-0.4961156757164283
1937,69,0.9,0.02,0.88,-0.1559413155850008
1936,70,0.7,0.1,0.6,-0.4961156757164283
1935,71,0.5,0.1,0.4,-0.8362900358478556
1934,72,0.7,0.1,0.6,-0.4961156757164283
1933,73,0.5,0.26,0.24,-0.8362900358478556
1932,74,0.7,0.08,0.62,-0.4961156757164283
1931,75,0.8,0.4,0.4,-0.32602849565071446
1930,76,0.8,0.06,0.74,-0.32602849565071446
1929,77,1,0.12,0.88,0.014145864480712833
1928,78,1.8,0.1,1.7,1.3748433050064224
1927,79,0.7,0.2,0.5,-0.4961156757164283
1926,80,0.3,0.03,0.27,-1.1764643959792829
1925,81,2,0.2,1.8,1.7150176651378497
1924,82,0.2,0.1,0.1,-1.3465515760449966
1923,83,1,0.4,0.6,0.014145864480712833
1922,84,1.6,0.02,1.58,1.034668944874995
1921,85,0.8,0.2,0.6,-0.32602849565071446
1920,86,1.1,0.2,0.9,0.18423304454642667
1919,87,0.5,0.1,0.4,-0.8362900358478556
1918,88,1,0.02,0.98,0.014145864480712833
1917,89,2.2,0.14,2.06,2.0551920252692772
1916,90,2.4,0.2,2.2,2.3953663854007043
1915,91,0.3,0.04,0.26,-1.1764643959792829
1914,92,0.5,0.1,0.4,-0.8362900358478556
1913,93,1.4,0.1,1.3,0.6944945847435674
1912,94,0.4,0.2,0.2,-1.006377215913569
1911,95,1.8,0.3,1.5,1.3748433050064224
1910,96,1.2,0.1,1.1,0.35432022461214013
1909,97,0.6,0.04,0.56,-0.6662028557821419
1908,98,1,0.1,0.9,0.014145864480712833
1907,99,2.6,0.1,2.5,2.735540745532132
1906,100,0.5,0.02,0.48,-0.8362900358478556
1905,101,0.6,0.02,0.58,-0.6662028557821419
