Year,BSi MAR (mgSiO2/cm2y),BSi MAR (mgSiO2/cm2y)_1
1847,6.74,3.46
1833,7.41,NA
1819,6.64,NA
1805,6.49,3.37
1792,6.72,NA
1778,7.47,NA
1764,8.44,NA
1750,6.93,NA
1736,6.95,NA
1722,6.4,NA
1708,7.28,NA
1695,7.44,NA
1681,6.12,NA
1667,6.09,NA
1653,6.95,NA
1639,6.31,NA
1625,5.45,NA
1612,7.37,NA
1598,7.43,NA
1584,7.01,NA
1570,7.81,NA
1556,6.57,NA
1542,7.58,NA
1528,8.61,NA
1515,7.82,NA
1501,5.24,NA
1487,6.03,NA
1473,6.36,NA
1459,4.39,NA
1445,4.92,NA
1431,5.56,NA
1418,5.84,NA
1404,5.12,NA
1390,5.09,NA
1376,5.8,NA
1362,5.42,NA
1348,6.07,NA
1334,8.71,NA
1321,8.02,NA
1307,9.44,NA
1293,7.23,NA
1279,7.96,NA
1265,6.4,NA
1251,6.51,NA
1237,5.42,NA
1224,4.99,NA
1210,4.81,NA
1196,4.65,NA
1182,5.36,NA
1168,5.62,NA
1154,6.63,NA
1141,8.04,NA
1127,5.21,NA
1113,4.54,NA
1099,5.06,NA
1085,5.46,NA
1071,7.79,NA
1057,7.69,NA
1044,5.2,5.3
1030,4.52,NA
1016,5.52,NA
1002,4.5,3.65
989,3.99,NA
977,4.67,2.87
964,4.01,NA
951,4.73,NA
938,4.94,NA
926,4,3.97
913,4.85,NA
900,4.94,NA
888,7.04,NA
875,5.91,NA
862,5.21,NA
849,4.25,NA
837,4.88,NA
824,4.92,NA
811,6.07,NA
799,5.39,NA
786,6.33,NA
773,6.65,NA
760,5.23,NA
748,4.92,NA
735,5.48,NA
722,5.61,NA
710,4.4,NA
697,5.67,NA
684,6.14,NA
671,9.63,NA
659,12.56,NA
646,8.47,NA
633,7.5,NA
621,7.11,NA
608,8.34,NA
595,7.48,NA
582,7.44,NA
570,9.61,NA
557,7.62,NA
544,7.7,NA
532,6.38,NA
519,4.66,NA
506,5.38,NA
493,4.66,NA
481,6.84,NA
468,5.43,NA
455,7.32,NA
442,10.14,NA
430,7.16,NA
417,5.14,NA
404,8.02,NA
392,8.13,NA
379,8.37,NA
366,6.91,NA
353,4.74,3.83
341,7.84,NA
328,9.89,NA
315,4.35,NA
303,4.07,NA
290,3.52,NA
277,4.68,NA
264,5.31,NA
252,6.03,NA
239,7.33,NA
226,5.04,NA
214,7.06,NA
201,7.15,NA
188,9.1,NA
175,6.04,NA
163,4.2,NA
150,5.76,3.39
137,5.52,NA
125,6.24,NA
112,5.25,NA
99,6.64,NA
86,5.6,NA
74,7.36,NA
61,6.72,NA
48,6.56,NA
36,7.28,NA
23,5.84,NA
10,8.31,NA
-3,6.99,NA
-15,9.26,NA
-28,7.83,NA
-44,7.7,NA
-60,7.69,NA
-76,7.08,4.34
-92,6.78,NA
-108,6.93,NA
-124,6.93,NA
-140,7.7,NA
-156,5.56,NA
-172,6.48,NA
-188,8.25,3.83
-204,8.93,NA
-220,9.39,NA
-236,7.61,NA
-252,6.92,NA
-268,6.52,NA
-284,5.99,NA
-300,7.89,NA
-316,6.82,NA
-332,6.81,NA
-347,6.19,NA
-363,7.99,NA
-379,8.53,NA
-395,7.25,NA
-411,8.59,NA
-427,7.69,NA
-443,7.9,NA
-459,6.77,4.77
-475,6.42,NA
-491,7.75,NA
-507,8.94,NA
-523,7.51,NA
-539,6.57,NA
-555,6.92,NA
-571,6.45,NA
-587,7.04,NA
-603,7.4,NA
-619,7.71,NA
-635,7.22,NA
-651,7.11,NA
-667,7.48,NA
-683,9.13,NA
-699,8.57,NA
-715,6.01,NA
-731,6.31,NA
-747,7.1,NA
-763,7.68,NA
-779,7.54,NA
-795,7.93,NA
-811,8.65,NA
-827,7.73,NA
-843,7.41,6.34
-859,7.53,NA
-875,5.41,NA
-891,6.18,NA
-907,8.61,NA
-923,8.89,NA
-939,7.05,NA
-954,9.37,NA
-970,10.77,NA
-986,9.97,NA
-1002,8.68,NA
-1018,8.79,NA
-1034,6.85,NA
-1050,8.87,NA
-1066,9.49,NA
-1082,7.1,NA
-1098,7.5,NA
-1114,8.39,5.82
-1130,9.51,NA
-1146,7.35,NA
-1162,7.86,NA
-1178,8.13,NA
-1194,8.03,NA
-1210,6.52,NA
-1226,8.58,4.5
-1242,10.55,NA
-1258,10.01,NA
-1274,6.62,NA
-1290,8.86,NA
-1306,7.76,NA
-1322,7.64,NA
-1338,9.94,NA
-1354,8.61,NA
-1370,7.35,NA
-1386,11.2,NA
-1402,8.93,NA
-1418,5.69,NA
-1434,11.71,NA
-1450,8.51,NA
-1466,9.64,NA
-1482,6.82,NA
-1498,8.61,NA
-1514,9.65,NA
-1530,8.69,NA
-1546,9.79,NA
-1561,6.26,NA
-1577,10.04,NA
-1593,9.58,NA
-1609,10.74,NA
-1625,8.42,NA
-1641,10.58,NA
-1657,9.9,NA
-1673,7.41,NA
-1689,6.59,NA
-1705,8.96,NA
-1721,9,NA
-1737,6.7,NA
-1753,6.45,NA
-1769,6.72,NA
-1785,6.67,NA
-1801,10.68,NA
